   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 __init__.py:1942(get_aliased_and_aliases)
       56    0.000    0.000    0.000    0.000 __init__.py:1943(<genexpr>)
        6    0.000    0.000    0.000    0.000 __init__.py:199(_logged_cached)
       14    0.000    0.000    0.000    0.000 __init__.py:200(connect)
      660    0.001    0.000    0.002    0.000 __init__.py:2094(_setattr_cm)
       34    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2138(_OrderedSet)
        1    0.000    0.000    0.000    0.000 __init__.py:2139(__init__)
      105    0.000    0.000    0.001    0.000 __init__.py:218(wrapper)
       34    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        2    0.000    0.000    0.000    0.000 __init__.py:2259(_backend_module_name)
        1    0.000    0.000    0.000    0.000 __init__.py:23(get_projection_names)
        1    0.000    0.000    0.000    0.000 __init__.py:233(ExecutableNotFoundError)
      742    0.001    0.000    0.001    0.000 __init__.py:259(process)
        1    0.000    0.000    0.000    0.000 __init__.py:26(classproperty)
        1    0.000    0.000    0.008    0.008 __init__.py:274(load)
        1    0.000    0.000    0.000    0.000 __init__.py:280(silent_list)
       14    0.000    0.000    0.001    0.000 __init__.py:282(__init__)
        2    0.000    0.000    0.007    0.003 __init__.py:299(loads)
        1    0.000    0.000    0.012    0.012 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:314(IgnoredKeywordWarning)
       18    0.001    0.000    0.002    0.000 __init__.py:316(namedtuple)
       14    0.000    0.000    0.000    0.000 __init__.py:360(getMessage)
       13    0.000    0.000    0.000    0.000 __init__.py:38(__getattr__)
       89    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:392(_get_xdg_config_dir)
        1    0.000    0.000    0.000    0.000 __init__.py:402(_get_xdg_cache_dir)
      236    0.000    0.000    0.000    0.000 __init__.py:403(_make)
        2    0.000    0.000    0.001    0.001 __init__.py:411(_get_config_or_cache_dir)
       14    0.000    0.000    0.000    0.000 __init__.py:418(usesTime)
        1    0.000    0.000    0.000    0.000 __init__.py:42(__getattr__)
       14    0.000    0.000    0.000    0.000 __init__.py:421(format)
        8    0.000    0.000    0.000    0.000 __init__.py:426(_asdict)
        9    0.000    0.000    0.000    0.000 __init__.py:43(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:44(get_projection_class)
        1    0.000    0.000    0.001    0.001 __init__.py:441(get_configdir)
        1    0.000    0.000    0.000    0.000 __init__.py:460(get_cachedir)
        1    0.000    0.000    0.000    0.000 __init__.py:47(create_string_buffer)
        1    0.000    0.000    0.000    0.000 __init__.py:471(get_data_path)
        1    0.000    0.000    0.002    0.002 __init__.py:477(matplotlib_fname)
        4    0.000    0.000    0.001    0.000 __init__.py:498(gen_candidates)
        2    0.000    0.000    0.000    0.000 __init__.py:528(_get_data_path)
        1    0.000    0.000    0.000    0.000 __init__.py:549(RcParams)
        8    0.000    0.000    0.000    0.000 __init__.py:55(fget)
       30    0.000    0.000    0.002    0.000 __init__.py:569(__init__)
     1260    0.002    0.000    0.022    0.000 __init__.py:572(__setitem__)
       14    0.000    0.000    0.000    0.000 __init__.py:573(usesTime)
        1    0.000    0.000    0.000    0.000 __init__.py:576(maxdict)
       14    0.000    0.000    0.000    0.000 __init__.py:579(formatMessage)
        1    0.000    0.000    0.000    0.000 __init__.py:585(__init__)
       15    0.000    0.000    0.000    0.000 __init__.py:590(__setitem__)
       14    0.000    0.000    0.000    0.000 __init__.py:595(format)
        1    0.000    0.000    0.000    0.000 __init__.py:599(Stack)
        1    0.000    0.000    0.000    0.000 __init__.py:6(<listcomp>)
     5120    0.003    0.000    0.004    0.000 __init__.py:602(__getitem__)
        2    0.000    0.000    0.000    0.000 __init__.py:606(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:634(push)
      312    0.000    0.000    0.000    0.000 __init__.py:635(__iter__)
      176    0.001    0.000    0.001    0.000 __init__.py:64(check_isinstance)
        4    0.000    0.000    0.000    0.000 __init__.py:659(clear)
        1    0.000    0.000    0.000    0.000 __init__.py:659(copy)
        1    0.000    0.000    0.000    0.000 __init__.py:660(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:664(bubble)
        1    0.000    0.000    0.000    0.000 __init__.py:671(is_url)
       56    0.001    0.000    0.183    0.003 __init__.py:687(_open_file_or_url)
        1    0.000    0.000    0.022    0.022 __init__.py:7(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:7(ProjectionRegistry)
     1807    0.000    0.000    0.000    0.000 __init__.py:707(<lambda>)
       28    0.006    0.000    0.212    0.008 __init__.py:707(_rc_params_in_file)
       28    0.000    0.000    0.000    0.000 __init__.py:716(__init__)
       28    0.000    0.000    0.000    0.000 __init__.py:736(filter)
       26    0.000    0.000    0.187    0.007 __init__.py:781(rc_params_from_file)
      177    0.000    0.000    0.000    0.000 __init__.py:79(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:818(Grouper)
        1    0.000    0.000    0.220    0.220 __init__.py:82(<module>)
      769    0.000    0.000    0.000    0.000 __init__.py:823(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:833(<dictcomp>)
       28    0.000    0.000    0.000    0.000 __init__.py:838(acquire)
       28    0.000    0.000    0.000    0.000 __init__.py:845(release)
        6    0.000    0.000    0.000    0.000 __init__.py:852(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:853(<dictcomp>)
      108    0.000    0.000    0.000    0.000 __init__.py:858(clean)
       14    0.000    0.000    0.000    0.000 __init__.py:858(format)
      108    0.000    0.000    0.000    0.000 __init__.py:861(<listcomp>)
       14    0.000    0.000    0.010    0.001 __init__.py:881(handle)
      106    0.000    0.000    0.000    0.000 __init__.py:907(get_siblings)
      106    0.000    0.000    0.000    0.000 __init__.py:911(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:94(_StrongRef)
        8    0.000    0.000    0.000    0.000 __init__.py:99(__init__)
        1    0.000    0.000    0.000    0.000 _animation_data.py:159(<module>)
   494179    0.287    0.000    4.792    0.000 _asarray.py:14(asarray)
   231444    0.140    0.000    0.321    0.000 _asarray.py:86(asanyarray)
        1    0.000    0.000    0.058    0.058 _axes.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _axes.py:1361(plot)
        1    0.000    0.000    0.003    0.003 _axes.py:185(legend)
        1    0.000    0.000    0.013    0.013 _axes.py:46(Axes)
        1    0.000    0.000    0.008    0.008 _base.py:1(<module>)
        3    0.000    0.000    0.000    0.000 _base.py:1045(_set_position)
        2    0.000    0.000    0.000    0.000 _base.py:1083(get_axes_locator)
        4    0.000    0.000    0.000    0.000 _base.py:1089(_set_artist_props)
        1    0.000    0.000    0.000    0.000 _base.py:1099(_gen_axes_patch)
        1    0.000    0.000    0.001    0.001 _base.py:1116(_gen_axes_spines)
        5    0.000    0.000    0.001    0.000 _base.py:1131(<genexpr>)
        1    0.000    0.000    0.029    0.029 _base.py:1172(cla)
        1    0.000    0.000    0.000    0.000 _base.py:1330(_set_title_offset_trans)
        2    0.000    0.000    0.000    0.000 _base.py:1416(get_aspect)
        1    0.000    0.000    0.000    0.000 _base.py:1569(set_box_aspect)
        2    0.000    0.000    0.000    0.000 _base.py:1688(apply_aspect)
        1    0.000    0.000    0.001    0.001 _base.py:2097(add_line)
        1    0.000    0.000    0.000    0.000 _base.py:210(_process_plot_var_args)
        1    0.000    0.000    0.000    0.000 _base.py:2123(_update_line_limits)
        2    0.000    0.000    0.000    0.000 _base.py:221(__init__)
        2    0.000    0.000    0.000    0.000 _base.py:2228(_unit_change_handler)
        5    0.000    0.000    0.000    0.000 _base.py:2307(_process_unit_info)
        2    0.000    0.000    0.000    0.000 _base.py:234(set_prop_cycle)
        5    0.000    0.000    0.000    0.000 _base.py:2363(<listcomp>)
        1    0.000    0.000    0.000    0.000 _base.py:2424(use_sticky_edges)
        2    0.000    0.000    0.001    0.000 _base.py:245(__call__)
        1    0.000    0.000    0.000    0.000 _base.py:257(<listcomp>)
